arber_LUFTTEMPERATUR,arber_NIEDERSCHLAGSHOEHE,arber_DAMPFDRUCK,arber_NIEDERSCHLAGSHOEHE_IND,arber_SCHNEEHOEHE,schorndorf_LUFTTEMPERATUR,schorndorf_NIEDERSCHLAGSHOEHE,schorndorf_DAMPFDRUCK,schorndorf_NIEDERSCHLAGSHOEHE_IND,schorndorf_SCHNEEHOEHE,straubing_LUFTTEMPERATUR,straubing_NIEDERSCHLAGSHOEHE,straubing_DAMPFDRUCK,straubing_NIEDERSCHLAGSHOEHE_IND,straubing_SCHNEEHOEHE
-2.1,11.8,5.0,8,4,5.3,2.6,6.3,6.0,0.0,4.3,2.2,6.4,6.0,0.0
3.1,16.9,7.5,6,5,10.1,2.1,11.0,6.0,0.0,9.2,4.1,10.6,6.0,0.0
3.0,0.5,7.4,6,0,10.8,0.0,10.5,0.0,0.0,10.8,0.0,10.6,0.0,0.0
7.9,0.0,6.9,0,0,8.8,0.0,10.1,0.0,0.0,9.2,0.0,10.5,0.0,0.0
8.8,0.0,4.8,0,0,8.0,0.0,9.5,0.0,0.0,8.2,0.0,10.2,0.0,0.0
2.6,0.0,6.7,0,0,7.8,0.0,8.6,6.0,0.0,7.0,0.0,8.3,6.0,0.0
0.9,7.1,6.1,6,0,9.6,0.0,7.8,0.0,0.0,10.0,0.1,7.8,6.0,0.0
2.8,40.5,7.8,8,0,10.4,12.7,10.4,6.0,0.0,10.9,11.0,11.1,6.0,0.0
-1.5,10.4,5.4,7,0,5.7,1.8,7.8,8.0,0.0,5.6,3.1,8.2,6.0,0.0
-1.1,1.3,5.5,7,7,6.3,0.0,7.9,0.0,0.0,4.7,0.1,7.6,6.0,0.0
-0.3,0.0,5.6,0,7,4.9,0.0,6.9,0.0,0.0,3.8,0.0,7.0,0.0,0.0
7.1,0.0,4.5,0,6,3.3,0.0,7.0,0.0,0.0,7.5,0.0,8.4,0.0,0.0
9.8,0.0,5.6,0,5,11.7,0.0,8.6,0.0,0.0,12.0,0.0,10.4,0.0,0.0
2.8,19.1,7.1,8,0,7.0,14.7,8.8,8.0,0.0,8.0,11.6,9.5,6.0,0.0
